Game,Similar1,Score1,Similar2,Score2,Similar3,Score3
Nitroplus Blasterz: Heroines Infinite Duel,Guilty Gear Xrd -Revelator-,0.8264520166096389,Blade Arcus from Shining EX,0.8217440800194882,JoJo's Bizarre Adventure: Eyes of Heaven,0.8212128828640037
Moe Moe 2-Ji Daisenryaku 2,Moe Moe 2-Ji Daisenryaku 2,1.0,Shutsugeki! Otometachi no Senjou 2: Ikusabana no Kizuna,0.9966709747919005,Nobunaga no Yabou: Soutensoku with Power-Up Kit,0.7409236865890303
Tsuyo Kiss 3 Portable,Bakumatsu Rock,0.7792875100460872,Juusanshi Engi Engetsu Sangokuden 2,0.7786504858691377,Meiji Toukyou Renka: Twilight Kiss,0.7781238314646594
Fireman Sam: Action Stations,Secrets of the Titanic,0.9975265263371345,Jewel Link: Galactic Quest,0.9975213186907378,Thomas and Friends: Steaming around Sodor,0.7977365225744176
Tetris Ultimate,Rugby World Cup 2015,0.8106852719705631,Assassin's Creed Chronicles,0.809888560857358,Puyo Puyo Tetris,0.8017231738160564
Durarara!! Relay,Ebikore Photo Kano Kiss,0.9996164885608373,Darius Burst: Chronicle Saviours,0.9980277748949953,Kan Colle Kai,0.9687372177070361
Moto Racer Advance,Monster Jam: Maximum Destruction,0.9985401912763525,Razor Freestyle Scooter,0.7562142219911001,Planet of the Apes,0.7552471670055289
Duel Masters: Shadow of the Code,Duel Masters: Kaijudo Showdown,0.9909903419191277,Space Channel 5: Ulala's Cosmic Attack,0.9856511873252967,Duel Masters: Sempai Legends,0.9789406455243117
Full Auto 2: Battlelines,OutRun 2006: Coast 2 Coast,0.9949775213813434,Initial D: Street Stage,0.9796847477661358,Sega Rally Revo,0.9577961812256321
Freaky Flyers,Tube Slider,0.999973588360098,Smashing Drive,0.9992254456607464,Virtua Quest,0.7088724074379755
Army Men: Air Combat - The Elite Missions,WarJetz,0.736000558136038,Dragon Rage,0.7352791370000396,Space Raiders,0.7350187059914215
Rally Championship,Pro Rally,0.7393260365742148,Road Trip: The Arcade Edition,0.7390350057532031,F1 2002,0.7384124192063901
Happy Dance Collection,Haneru no Tobira Wii: Girigirissu,0.9955790303940102,Tamagotchi Party On!,0.973459137942037,Namco Museum Megamix,0.9720499013601163
